Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%)
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
PZT,0.5,,,
SMA,,2.460968508,0.625475321,
SMA,,3.797902199,0.938690516,
SMA,,4.510652067,1.229562956,
SMA,,5.351901452,1.509856384,
SMA,,6.564972956,1.874187083,
SMA,,8.069073798,2.182263936,
SMA,,9.428565316,2.490402238,
SMA,,10.79673339,2.798536852,
SMA,,12.22563739,3.106645658,
SMA,,13.63718826,3.414761839,
SMA,,15.16153441,3.722830089,
SMA,,16.66852744,4.030905712,
SMA,,18.06272519,4.339029266,
SMA,,19.47427607,4.647145446,
SMA,,20.8945035,4.955257939,
SMA,,22.35811373,5.263351998,
SMA,,23.82172396,5.571446056,
SMA,,25.29401076,5.879536428,
SMA,,26.8183569,6.187604678,
SMA,,28.32534993,6.495680302,
SMA,,29.72822425,6.803800169,
SMA,,31.07036265,7.111945844,
SMA,,32.39514793,7.420098894,
SMA,,33.68522697,7.728266691,
SMA,,35.0323234,8.036410259,
SMA,,36.23657482,8.369171481,
SMA,,37.11295956,8.652958115,
SMA,,37.76964976,8.961395057,
SMA,,38.0098651,9.270008972,
SMA,,38.08522581,9.578692938,
SMA,,38.21067952,9.897880027,
SMA,,38.74596671,10.18742462,
SMA,,39.52931037,10.49954976,
SMA,,40.96741665,10.55974636,
SMA,,0.02093329161,,
SMA,,0.06773259857,,
SMA,,0.1163318789,,
SMA,,0.1757309992,,
SMA,,0.2675296398,,
SMA,,0.3863278805,,
SMA,,0.5051261213,,
